Email ID,电子邮件ID,
No items found.,未找到任何项目。,
&lt;head&gt; HTML,&lt;head&gt; HTML,
'Recipients' not specified,收件人未指定,
** Failed: {0} to {1}: {2},**失败：{0} 到 {1}：{2},
**Currency** Master,**货币**管理,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草案; 1 - 已提交; 2 - 已取消,
0 is highest,0是最高的,
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,1货币单位= [？]小数单位。例如：1美元=100美分,
1 comment,1条评论,
1 hour ago,1小时前,
1 minute ago,1分钟前,
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4>默认模板</h4>\n<p>使用 <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja 模板</a>，地址的所有字段（包括自定义字段，如果有）都将可用</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}电话: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}传真: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}电子邮件: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>",
API Endpoint Args,API端点参数,
API Password,API密码,
API Secret,API密钥,
API Username,API用户名,
ASC,ASC,
Allow Consecutive Login Attempts,允许连续登录尝试,
Beta,Beta版,
Braintree Settings,Braintree设置,
Braintree payment gateway settings,Braintree支付网关设置,
Brand HTML,品牌HTML,
Brand Image,品牌形象,
Browser not supported,浏览器不支持,
CSS,CSS,
CSV,CSV,
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",联系人选项（如 “销售咨询、支持咨询” 等）需每行填写一个，或用逗号分隔。,
Ctrl+Enter to add comment,Ctrl + Enter以添加评论,
Customizations for <b>{0}</b> exported to:<br>{1},<b>{0}的</b>自定义已导出到： <br> {1},
DESC,DESC,
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,为字段<b>{1}</b>提供的DocType <b>{0}</b>必须至少有一个链接字段,
DocType must be Submittable for the selected Doc Event,DocType必须可提交以用于所选文档事件,
Doctype required,需要Doctype,
"Don't HTML Encode HTML tags like <script> or just characters like < or >, as they could be intentionally used in this field",不要对HTML标签（如<script>）或字符（如<或>）进行HTML编码，因为它们可能在此字段中故意使用,
Dropbox Access Key,Dropbox访问密钥,
Dropbox Access Secret,Dropbox访问密钥秘密,
Dropbox Access Token,Dropbox访问令牌,
Dropbox Settings,Dropbox设置,
Dropbox Setup,Dropbox设置,
Dropbox access is approved!,Dropbox访问已批准！,
Dropbox backup settings,Dropbox备份设置,
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set match"" permission rules. To see list of fields"," go to ""Customize Form"".""",输入默认值字段（键）和值。如果您为一个字段添加多个值，将选取第一个值。这些默认值也用于设置“匹配”权限规则。要查看字段列表，请转到“自定义表单”。
Excel,Excel,
Expiry time of QR Code Image Page,QR码图像页面的到期时间,
"Field ""route"" is mandatory for Web Views",Web视图必须使用字段“路由”,
Fold cannot be at the end of the form,折叠不能位于表单末尾,
"For Links, enter the DocType as range.\nFor Select, enter list of Options, each on a new line.",对于链接，输入文档类型的范围。对于选择，输入选项列表，每个选项占一行。,
Frappe Framework,Frappe框架,
Fw: {0},FW：{0},
GCalendar Sync ID,GCalendar同步ID,
GMail,GMail,
Geo,GEO,
GitHub,GitHub,
Google Calendar ID,Google日历ID,
Google Services,Google服务,
HTML,HTML,
HTML Editor,HTML编辑器,
"HTML Header, Robots and Redirects",HTML标头，机器人和重定向,
HTML for header section. Optional,HTML的标题部分。可选,
Has Attachment,有附件,
Help: To link to another record in the system," use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",帮助：要链接到系统中的另一个记录，请使用“#Form/Note/[Note Name]”作为链接URL。不要使用“http://”格式的链接。
Hint: Include symbols, numbers and capital letters in the password,提示：在密码中加入符号，数字和大写字母
How should this currency be formatted? If not set, will use system defaults,货币应如何格式化？如果未设置，将使用系统默认值。
Idx,IDX,
If a Role does not have access at Level 0, then higher levels are meaningless.,如果角色没有0级的访问权限，那么无需设置更高级权限
If disabled, this role will be removed from all users.,如果禁用了，这个角色将会从所有用户中删除。
If non standard port (e.g. 587). If on Google Cloud, try port 2525.,如果非标准端口（例如587）。如果在Google Cloud上，请尝试使用端口2525。
If not set, the currency precision will depend on number format,如果未设置，则货币精度将取决于数字格式
If the user has any role checked," then the user becomes a ""System User"". ""System User"" has access to the desktop",如果用户有任何选中的角色，那么用户就成为“系统用户”。 “系统用户”可以访问桌面
If these instructions were not helpful, please add in your suggestions on GitHub Issues.,如果这些说明没有帮助，请在GitHub Issues提交您的建议。
